Season,Date,Block,Irrigation,Cultivar,Inoculum,Plant,Roots_Mp,Roots_none,Total_Roots,Percent_Roots_Mp,Crown_Mp,Crown_None,Total_Crown,Percent_Crown_Mp,Random,Stored,New_Name,notes
2020,5-31-2021,1,Optimal,Fronteras,Inoculated,14,0,0,20,0,2,0,8,25,yes,,,
2020,6-28-2021,1,Low,Monterey,Inoculated,27,NA,NA,NA,NA,2,0,8,25,no,,,
2020,6-28-2021,3,Optimal,Monterey,Control,2,3,0,20,15,2,0,8,25,yes,in process,VSP-0655-MAph-FRan,
2020,5-3-2021,4,Low,Monterey,Control,6,0,0,20,0,0,0,8,13,yes,,,
2020,11-19-2020,1,Low,Monterey,Inoculated,19,10,0,20,50,1,0,8,12.5,yes,,,
2020,12-14-2020,4,Optimal,Fronteras,Inoculated,6,3,1,20,15,1,0,8,12.5,yes,,,
2020,1-11-2021,1,Low,Fronteras,Inoculated,2,10,0,20,50,1,0,8,12.5,yes,yes,,
2020,1-11-2021,1,Low,Monterey,Inoculated,11,9,0,20,45,1,0,8,12.5,yes,,,
2020,1-11-2021,1,Optimal,Monterey,Inoculated,11,4,0,20,20,1,0,8,12.5,yes,,,
2020,1-11-2021,3,High,Monterey,Inoculated,30,7,0,20,35,1,0,8,12.5,yes,yes,,
2020,1-11-2021,3,Optimal,Monterey,Inoculated,15,3,0,20,15,1,0,8,12.5,yes,,,
2020,1-11-2021,4,High,Monterey,Inoculated,7,7,0,20,35,1,0,8,12.5,yes,,,
2020,1-11-2021,4,Low,Monterey,Inoculated,14,11,0,20,55,1,0,8,12.5,yes,,,
2020,2-8-2021,1,Optimal,Monterey,Inoculated,7,5,0,20,25,1,0,8,12.5,yes,yes,,
2020,2-8-2021,2,Optimal,Monterey,Inoculated,15,1,0,20,5,1,0,8,12.5,yes,,,
2020,3-8-2021,2,Optimal,Monterey,Inoculated,6,1,0,20,5,1,0,8,12.5,yes,,,
2020,4-5-2021,4,Optimal,Monterey,Inoculated,3,0,0,20,0,1,0,8,12.5,yes,,,
2020,5-3-2021,1,High,Fronteras,Inoculated,10,0,0,20,0,1,0,8,12.5,yes,,,
2020,5-3-2021,3,High,Monterey,Inoculated,6,0,0,20,0,1,0,8,12.5,yes,,,
2020,6-28-2021,1,Optimal,Monterey,Control,11,0,0,20,0,1,0,8,12.5,yes,"in process, bleach dilution made",VSP-0697,
2020,6-28-2021,2,High,Monterey,Inoculated,29,NA,NA,NA,NA,1,0,8,12.5,no,,,
2020,6-28-2021,2,Low,Monterey,Control,6,0,0,20,0,1,0,8,12.5,yes,in process,VSP-0608,
2020,6-28-2021,2,Optimal,Fronteras,Inoculated,19,1,0,20,5,1,0,8,12.5,yes,,,
2020,6-28-2021,3,High,Monterey,Control,11,1,0,20,5,1,0,8,12.5,yes,in process,VSP-0627-MAph-FRan,
2020,6-28-2021,3,High,Monterey,Inoculated,3,8,0,20,40,1,0,8,12.5,yes,,,
2020,6-28-2021,3,Low,Monterey,Control,26,2,0,20,10,1,0,8,12.5,yes,in process,VSP-0607-MAph-FRan,
2020,6-28-2021,4,Low,Monterey,Control,1,NA,NA,NA,NA,1,0,8,12.5,no,,,
2020,4-5-2021,3,High,Fronteras,Inoculated,27,2,0,20,10,0,0,8,12,yes,,,
2020,5-3-2021,3,High,Fronteras,Control,7,0,0,20,0,0,0,8,12,yes,,,
2020,4-5-2021,2,Optimal,Fronteras,Inoculated,18,0,0,20,0,1,0,8,11,yes,yes,,
2020,4-5-2021,4,Optimal,Fronteras,Inoculated,10,1,0,20,5,2,0,8,11,yes,,,
2020,5-3-2021,2,Optimal,Fronteras,Inoculated,29,1,0,20,5,7,0,8,11,no,,,
2020,5-3-2021,4,Optimal,Monterey,Control,15,0,0,20,0,0,0,8,11,yes,,,
2020,4-5-2021,2,Low,Fronteras,Inoculated,11,0,0,20,0,0,0,8,10,yes,,,
2020,4-5-2021,4,Low,Fronteras,Inoculated,18,4,0,20,20,1,0,8,10,yes,,,
2020,5-3-2021,1,Low,Monterey,Inoculated,6,0,0,20,0,1,0,8,10,yes,,,
2020,5-3-2021,3,High,Fronteras,Inoculated,10,2,0,20,10,0,0,8,10,yes,,,
2020,5-3-2021,3,Optimal,Monterey,Control,30,0,0,20,0,0,0,8,10,yes,,,
2020,4-5-2021,2,High,Fronteras,Inoculated,14,1,0,20,5,1,0,8,9,yes,,,
2020,4-5-2021,3,Low,Monterey,Control,27,0,0,20,0,0,0,8,9,yes,,,
2020,4-5-2021,4,High,Fronteras,Inoculated,7,8,0,20,40,0,0,8,9,yes,,,
2020,5-3-2021,1,High,Fronteras,Control,3,0,0,20,0,0,0,8,9,yes,,,
2020,5-3-2021,1,High,Monterey,Inoculated,3,1,0,20,5,0,0,8,9,yes,yes (in process),,
2020,3-8-2021,1,Low,Fronteras,Inoculated,19,7,0,20,35,1,0,8,8,yes,yes,,
2020,11-19-2020,1,High,Fronteras,Control,2,0,0,20,0,0,0,8,0,yes,,,
2020,11-19-2020,1,High,Fronteras,Inoculated,18,0,0,20,0,0,0,8,0,yes,,,
2020,11-19-2020,1,High,Monterey,Control,7,0,0,20,0,0,0,8,0,yes,,,
2020,11-19-2020,1,High,Monterey,Inoculated,23,6,0,20,30,0,0,8,0,yes,,,
2020,11-19-2020,1,Low,Fronteras,Control,2,0,0,20,0,0,0,8,0,yes,,,
2020,11-19-2020,1,Low,Fronteras,Inoculated,18,4,0,20,20,0,0,8,0,yes,,,
2020,11-19-2020,1,Low,Monterey,Control,10,0,0,20,0,0,0,8,0,yes,,,
2020,11-19-2020,1,Optimal,Fronteras,Control,3,0,0,20,0,0,0,8,0,yes,,,
2020,11-19-2020,1,Optimal,Fronteras,Inoculated,27,4,0,20,20,0,0,8,0,yes,,,
2020,11-19-2020,1,Optimal,Monterey,Control,7,0,0,20,0,0,0,8,0,yes,,,
2020,11-19-2020,2,High,Fronteras,Control,15,0,0,20,0,0,0,8,0,yes,,,
2020,11-19-2020,2,High,Fronteras,Inoculated,15,0,1,20,0,0,0,8,0,yes,,,
2020,11-19-2020,2,High,Monterey,Control,7,0,0,20,0,0,0,8,0,yes,,,
2020,11-19-2020,2,High,Monterey,Inoculated,6,1,0,20,5,0,0,8,0,yes,,,
2020,11-19-2020,2,Low,Fronteras,Control,18,0,1,20,0,0,0,8,0,yes,,,
2020,11-19-2020,2,Low,Fronteras,Inoculated,10,0,0,20,0,0,0,8,0,yes,,,
2020,11-19-2020,2,Low,Monterey,Control,10,0,0,20,0,0,0,8,0,yes,,,
2020,11-19-2020,2,Low,Monterey,Inoculated,18,0,0,20,0,0,0,8,0,yes,,,
2020,11-19-2020,2,Optimal,Fronteras,Control,7,0,0,20,0,0,0,8,0,yes,,,
2020,11-19-2020,2,Optimal,Monterey,Control,23,0,0,20,0,0,0,8,0,yes,,,
2020,11-19-2020,2,Optimal,Monterey,Inoculated,27,4,0,20,20,0,0,8,0,yes,yes,,
2020,11-19-2020,3,High,Fronteras,Control,23,0,0,20,0,0,0,8,0,yes,,,
2020,11-19-2020,3,High,Fronteras,Inoculated,15,9,0,20,45,0,0,8,0,yes,,,
2020,11-19-2020,3,High,Monterey,Control,2,0,0,20,0,0,0,8,0,yes,,,
2020,11-19-2020,3,High,Monterey,Inoculated,2,11,0,20,55,0,0,8,0,yes,,,
2020,11-19-2020,3,Low,Fronteras,Control,15,0,0,20,0,0,0,8,0,yes,,,
2020,11-19-2020,3,Low,Fronteras,Inoculated,18,8,0,20,40,0,0,8,0,yes,,,
2020,11-19-2020,3,Low,Monterey,Control,3,0,0,20,0,0,0,8,0,yes,,,
2020,11-19-2020,3,Low,Monterey,Inoculated,11,11,0,20,55,0,0,8,0,yes,,,
2020,11-19-2020,3,Optimal,Fronteras,Control,2,0,0,20,0,0,0,8,0,yes,,,
2020,11-19-2020,3,Optimal,Fronteras,Inoculated,11,1,0,20,5,0,0,8,0,yes,,,
2020,11-19-2020,3,Optimal,Monterey,Control,19,0,0,20,0,0,0,8,0,yes,,,
2020,11-19-2020,3,Optimal,Monterey,Inoculated,3,6,0,20,30,0,0,8,0,yes,,,
